id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
li-4436810794,linkedin,https://www.linkedin.com/jobs/view/4436810794,,Python Developer,GTECH LLC,"Jersey City, NJ",2026-07-07,,,,,,,,,,,,,,https://www.linkedin.com/company/gtech-llc,,,,,,
li-4404851061,linkedin,https://www.linkedin.com/jobs/view/4404851061,,Python Programmer,TRISTAR,"Crane, IN",2026-07-06,,,,,,,,,,,,,,https://www.linkedin.com/company/tri-star-engineering,,,,,,
li-4426399093,linkedin,https://www.linkedin.com/jobs/view/4426399093,,Python Software Engineer 2,Garmin,"Olathe, KS",2026-07-01,,,,,,,,,,,,,,https://www.linkedin.com/company/garmin,,,,,,
li-4436108946,linkedin,https://www.linkedin.com/jobs/view/4436108946,,Backend Software Engineer,Confidential,"San Antonio, Texas Metropolitan Area",2026-07-01,,,,,,,,,,,,,,https://www.linkedin.com/company/confidential-career,,,,,,
li-4435377657,linkedin,https://www.linkedin.com/jobs/view/4435377657,,Software Engineer,Software Engineering Institute | Carnegie Mellon University,"Pittsburgh, PA",2026-07-01,,,,,,,,,,,,,,https://www.linkedin.com/company/software-engineering-institute,,,,,,
li-4434017625,linkedin,https://www.linkedin.com/jobs/view/4434017625,,Python Developer II,Finance of America,"Plano, TX",2026-06-26,,,,,,,,,,,,,,https://www.linkedin.com/company/financeofamerica,,,,,,
li-4432965093,linkedin,https://www.linkedin.com/jobs/view/4432965093,,Django Developer,Quest CE,"Milwaukee, WI",2026-06-26,,,,,,,,,,,,,,https://www.linkedin.com/company/quest-ce,,,,,,
li-4433385208,linkedin,https://www.linkedin.com/jobs/view/4433385208,,Software Engineer,TelevisaUnivision,"McAllen, TX",2026-06-25,,,,,,,,,,,,,,https://www.linkedin.com/company/televisaunivision,,,,,,
li-3952273769,linkedin,https://www.linkedin.com/jobs/view/3952273769,,Python Developer,Open Systems Technologies,"New York, NY",2026-06-22,,,,,,,,,,,,,,https://www.linkedin.com/company/open-systems-technologies,,,,,,
li-4430700148,linkedin,https://www.linkedin.com/jobs/view/4430700148,,Back End Developer,Agility Partners,"Columbus, Ohio Metropolitan Area",2026-06-18,,,,,,,,,,,,,,https://www.linkedin.com/company/agilitypartners,,,,,,
li-4428400207,linkedin,https://www.linkedin.com/jobs/view/4428400207,,Software Engineer,Oho Group,"Alameda, CA",2026-06-16,,,,,,,,,,,,,,https://uk.linkedin.com/company/oho-group-ltd,,,,,,
li-4427221328,linkedin,https://www.linkedin.com/jobs/view/4427221328,,Python Developer,Datum Technologies Group,"South Carolina, United States",2026-06-12,,,,,,,,,,,,,,https://www.linkedin.com/company/datum-software,,,,,,
li-4370711031,linkedin,https://www.linkedin.com/jobs/view/4370711031,,Python Developer,LTIMindtree,"Tampa, FL",2026-05-29,,,,,,,,,,,,,,https://in.linkedin.com/company/ltimindtree,,,,,,
li-4408261449,linkedin,https://www.linkedin.com/jobs/view/4408261449,,Python Developer,ACI INFOTECH,"New York, NY",2026-04-28,,,,,,,,,,,,,,https://www.linkedin.com/company/aciinfotech,,,,,,
li-3761765202,linkedin,https://www.linkedin.com/jobs/view/3761765202,,Python Software Engineer,Old Mission,"Chicago, IL",2025-10-27,,,,,,,,,,,,,,https://www.linkedin.com/company/old-mission,,,,,,
